language_id,speaker_id,k_terms,n_labeled_chips,mse_cielab
9,21,6,330,0.16690281526521064
9,22,6,330,0.16419434303832373
9,23,6,330,0.18495845783432202
9,24,7,330,0.19146230131433353
9,25,7,330,0.12969843661880406
9,26,7,330,0.16196784356560642
9,27,6,330,0.22402824516032427
9,28,7,330,0.19812303852763763
9,29,8,330,0.2385555723123476
9,30,7,330,0.1658363628508383
10,1,9,330,0.19357732835090266
10,2,10,330,0.22031461595328652
10,3,10,330,0.15106802033951994
10,4,9,330,0.1572670681942722
10,5,6,330,0.23713881204130424
10,6,10,330,0.18379975522128839
10,7,8,330,0.18769791286727344
10,8,7,330,0.2542820840827734
10,9,9,330,0.16706941216568905
10,10,7,330,0.19878434641727277
10,11,11,330,0.14447137759955184
10,12,8,330,0.15210774413772854
10,13,6,330,0.20943322182786164
10,14,6,330,0.1951981874004024
10,15,7,330,0.19413438584554268
10,16,13,330,0.17701419291439355
10,17,13,330,0.20448419527628223
10,18,7,330,0.17616156771970448
10,19,7,330,0.19718901212080361
10,20,7,330,0.2074871878259345
10,21,8,330,0.1655017693535237
10,22,11,330,0.20629493994513784
10,23,12,330,0.189579088416649
10,24,8,330,0.1693766683431395
10,25,9,330,0.2150119968521921
11,1,7,330,0.16368753919372017
11,2,8,330,0.12371238903374676
11,3,7,330,0.21222041149268037
11,4,9,330,0.16659129299858322
11,5,7,330,0.15322972706332477
11,6,7,330,0.14363578614457836
11,7,7,330,0.16778045968527772
11,8,7,330,0.15598810425619408
11,9,7,330,0.21061312885410916
11,10,7,330,0.1633643182682074
11,11,7,330,0.17366346776542332
11,12,9,330,0.15722908105233666
11,13,7,330,0.14846091781611578
11,14,7,330,0.16556809917557969
11,15,7,330,0.1494912777058578
11,16,6,330,0.15041731102660713
11,17,7,330,0.14378868633142525
11,18,7,330,0.1515614963396411
11,19,7,330,0.24234129186834852
11,20,9,330,0.1684450326734076
11,21,5,330,0.1833058901742933
11,22,7,330,0.23002506305228376
11,23,7,330,0.15143097282040194
11,24,7,330,0.18120101881002615
